avName,avId,childAvName,childAvId
Conduct Open-Source Supply Chain Attack,AV-000,Develop and Advertise Distinct Malicious Package from Scratch,AV-100
Conduct Open-Source Supply Chain Attack,AV-000,Create Name Confusion with Legitimate Package,AV-200
Create Name Confusion with Legitimate Package,AV-200,Combosquatting,AV-201
Create Name Confusion with Legitimate Package,AV-200,Altering Word Order,AV-202
Create Name Confusion with Legitimate Package,AV-200,Manipulating Word Separators,AV-203
Create Name Confusion with Legitimate Package,AV-200,Typosquatting,AV-204
Create Name Confusion with Legitimate Package,AV-200,Built-In Package,AV-205
Create Name Confusion with Legitimate Package,AV-200,Brandjacking,AV-206
Create Name Confusion with Legitimate Package,AV-200,Omitting Scope or Namespace,AV-208
Create Name Confusion with Legitimate Package,AV-200,Similarity Attack,AV-207
Conduct Open-Source Supply Chain Attack,AV-000,Subvert Legitimate Package,AV-001
Subvert Legitimate Package,AV-001,Inject into Sources of Legitimate Package,AV-300
Inject into Sources of Legitimate Package,AV-300,Introduce Malicious Code through Hypocrite Merge Request,AV-301
Introduce Malicious Code through Hypocrite Merge Request,AV-301,Make Immature Vulnerability Exploitable,AV-304
Introduce Malicious Code through Hypocrite Merge Request,AV-301,Exploit Rendering Weakness,AV-305
Exploit Rendering Weakness,AV-305,Exploit Unicode Bidirectional Algorithm,AV-306
Exploit Rendering Weakness,AV-305,Use Homoglyphs,AV-307
Exploit Rendering Weakness,AV-305,Prevent Display of File Differences,AV-308
Exploit Rendering Weakness,AV-305,Hide in Generated/Compiled/Minified Code,AV-309
Inject into Sources of Legitimate Package,AV-300,Contribute as Maintainer,AV-302
Contribute as Maintainer,AV-302,Bribe or Blackmail Legitimate User,AV-601
Contribute as Maintainer,AV-302,Take-over Legitimate Account,AV-602
Take-over Legitimate Account,AV-602,Reuse of Compromised Credentials,AV-603
Take-over Legitimate Account,AV-602,Bruteforce,AV-604
Take-over Legitimate Account,AV-602,Reuse of Leaked API Tokens,AV-605
Take-over Legitimate Account,AV-602,Social Engineering to Obtain Credentials,AV-606
Take-over Legitimate Account,AV-602,Reuse of Existing Session,AV-607
